REGI?O:;N
UF:;AM
ESTAC?O:;MANAUS
CODIGO (WMO):;A101
LATITUDE:;-3,10361111
LONGITUDE:;-60,01555555
ALTITUDE:;48,79
DATA DE FUNDAC?O:;09/05/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (W/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2020/01/01;0000 UTC;0;1003,4;1003,4;1002,3;0;25,4;23;25,6;25,4;23;22,8;86;85;86;52;3;1,4;
2020/01/01;0100 UTC;0;1004,2;1004,2;1003,4;0;25,2;23;25,5;25,1;23,1;22,9;88;86;88;45;3,2;,8;
2020/01/01;0200 UTC;0;1005,1;1005,1;1004,2;0;24,8;23,1;25,2;24,7;23,3;22,9;91;88;90;21;1,9;,6;
2020/01/01;0300 UTC;0;1004,8;1005,1;1004,7;0;25;23,2;25;24,7;23,4;23,1;91;90;90;56;2,8;1,2;
2020/01/01;0400 UTC;0;1004,6;1004,8;1004,6;0;24,7;23,1;25;24,6;23,2;23;91;90;91;40;3,2;,6;
2020/01/01;0500 UTC;0;1004;1004,6;1004;0;24,9;23;24,9;24,5;23,2;22,8;91;89;90;63;2,6;1,3;
2020/01/01;0600 UTC;0;1003,5;1004;1003,5;0;24,4;22,8;24,9;24,4;23;22,7;91;89;91;46;2,6;,7;
2020/01/01;0700 UTC;0;1002,8;1003,5;1002,8;0;24,3;22,7;24,6;24,2;22,9;22,6;91;90;91;45;2,4;,6;
2020/01/01;0800 UTC;0;1002,3;1002,8;1002,3;0;24,1;22,7;24,3;23,9;22,7;22,5;92;91;92;45;2,1;,5;
2020/01/01;0900 UTC;0;1002,5;1002,5;1002,2;0;23,8;22,4;24,4;23,8;22,8;22,4;92;91;92;53;2,5;,6;
2020/01/01;1000 UTC;0;1003,4;1003,4;1002,5;1,2;23,8;22,4;24,1;23,8;22,7;22,4;92;92;92;65;2,3;,5;
2020/01/01;1100 UTC;0;1004,1;1004,1;1003,4;206,3;25;22,8;25,1;23,7;23,1;22,4;93;87;88;54;3,3;1,6;
2020/01/01;1200 UTC;0;1004,7;1004,7;1004,1;884,2;27;22,5;27,1;25;23,1;22,2;88;75;76;53;4,3;1,6;
2020/01/01;1300 UTC;0;1005,2;1005,2;1004,7;1782,5;28,8;21,7;28,8;27;22,6;20,9;76;63;66;50;6,5;2;
2020/01/01;1400 UTC;0;1005,2;1005,3;1005,1;2152,9;29,3;20,9;29,8;28,8;22,3;20,6;66;60;61;47;7,1;2,9;
2020/01/01;1500 UTC;0;1005;1005,2;1005;2001,3;29,1;21,1;29,7;29;22,1;20,8;66;60;62;58;7,3;2,9;
2020/01/01;1600 UTC;0;1004,4;1005;1004,4;2768,4;31,4;21,5;31,5;29,2;22,5;20,9;65;55;56;37;6,7;1,8;
2020/01/01;1700 UTC;0;1003,4;1004,4;1003,4;1922;30,4;20,8;31,9;29,7;22,6;20,2;61;52;57;63;6;2,3;
2020/01/01;1800 UTC;0;1002,7;1003,4;1002,7;2218,9;30,8;20,7;31,9;30,4;22,3;20,1;60;52;55;54;6,1;1,5;
2020/01/01;1900 UTC;0;1002;1002,7;1002;1121,7;30,2;21,1;31;30,1;21,9;20,2;61;54;58;28;4,8;1,2;
2020/01/01;2000 UTC;0;1001,7;1002;1001,7;575,3;29,9;21;30,3;29,7;21,5;20,4;61;56;59;50;3,9;1,1;
2020/01/01;2100 UTC;0;1001,8;1001,8;1001,7;426,1;29,4;21,1;29,9;29,4;21,4;20,2;62;57;61;13;4,8;,8;
2020/01/01;2200 UTC;0;1002,4;1002,4;1001,8;203,7;28,7;21,3;29,5;28,5;21,8;21;66;61;64;49;4,3;1,3;
2020/01/01;2300 UTC;0;1003,3;1003,3;1002,4;3,4;27,9;21,9;28,7;27,9;22;21,3;70;64;70;52;3,4;1,4;
2020/01/02;0000 UTC;0;1004,2;1004,3;1003,3;0;27,6;21,6;28,1;27,6;22,2;21,6;72;69;70;53;4,4;1,2;
2020/01/02;0100 UTC;0;1004,8;1004,8;1004,2;0;27,2;21,3;27,7;27,2;21,9;21,2;73;69;70;45;5,1;1,6;
2020/01/02;0200 UTC;0;1005;1005,2;1004,8;0;26,9;20,9;27,3;26,9;21,3;20,9;70;69;70;50;4,7;1,6;
